$username used Double-Edge on  $randuser, it was super effective!
$username used Aromatic Mist on  $randuser, it was super effective!
$username used Milk Drink on  $randuser, critical hit!!!
$username used Flatter on  $randuser, it was super effective!
$username used Water Pulse on  $randuser, critical hit!!!
$username used Bone Club on  $randuser, critical hit!!!
$username used Trump Card on  $randuser, it was super effective!
$username used Camouflage on  $randuser, critical hit!!!
$username used Lucky Chant on  $randuser, it was super effective!
$username used Endure on  $randuser, it was not very effective (
$username used Harden on  $randuser, critical hit!!!
$username used Shadow Ball on  $randuser, critical hit!!!
$username used Dizzy Punch on  $randuser, critical hit!!!
$username used Shadow Claw on  $randuser, it was not very effective (
$username used Facade on  $randuser, critical hit!!!
$username used Surf on  $randuser, it was super effective!
$username used Rock Climb on  $randuser, critical hit!!!
$username used Fire Blast on  $randuser, critical hit!!!
$username used Snore on  $randuser, critical hit!!!
$username used Conversion 2 on  $randuser, it was super effective!
$username used Rock Polish on  $randuser, it was not very effective (
$username used Electrify on  $randuser, it was super effective!
$username used Future Sight on  $randuser, it was not very effective (
$username used Razor Shell on  $randuser, it was super effective!
$username used Minimize on  $randuser, it was super effective!
$username used Teeter Dance on  $randuser, it was not very effective (
$username used Bite on  $randuser, it was super effective!
$username used Cotton Spore on  $randuser, it was not very effective (
$username used Dragon Breath on  $randuser, critical hit!!!
$username used Hail on  $randuser, it was super effective!
